,city,IATA
348,Kiri,KRZ
349,Basankusu,BSU
350,\N,BSO
351,Santos,SSZ
352,Basrah,BSR
353,Meknes,MEK
354,Latakia,LTK
355,Perigueux,PGX
356,Bata,BSG
357,Abu Dhabi,AZI
358,\N,BHS
359,Bathurst,ZBF
360,Batman,BAL
361,\N,BLJ
362,Baton Rouge,BTR
363,Batsfjord,BJF
364,Battambang,BBM
365,Batumi,BUS
366,Baudette,BDE
367,Bauru,BAU
368,Bautzen,BBJ
369,\N,BYN
370,Bayreuth,BYU
371,Marysville,BAB
372,Bearskin Lake,XBE
373,Beaufort,NBC
374,Deridder,DRI
375,\N,BEU
376,Beica,BEI
377,Matsu,MZW
378,Beihai,BHY
379,Beihan,BHN
380,Beijing,NAY
381,Beira,BEW
382,Belaga,BLG
383,Waala,BMY
384,Belgaum,IXG
385,Belgorod,EGO
386,Bellary,BEP
387,Limoges,LIG
388,Bellingham,BLI
389,Belo sur Tsiribihina,BMD
390,Bemidji,BJI
391,Tel-aviv,TLV
392,Benbecula,BEB
393,Benguela,BUG
394,Benin,BNI
395,Benghazi,BEN
396,Neiva,NVA
397,Beograd,BEG
398,Berbera,BBO
399,Berberati,BBT
400,Bergamo,BGY
401,Berlevag,BVG
402,Bermejo,BJO
403,Bermuda,BDA
404,Bern,BRN
405,Butte,BTM
406,Besalampy,BPY
407,Beslan,OGZ
408,Bethel,BET
409,Bettles,BTT
410,Bhairawa,BWA
411,Bharatpur,BHR
412,Bhaunagar,BHU
413,Bisho,VIY
414,Bhojpur,BHP
415,Bhopal,BHO
416,Bhubaneswar,BBI
417,Bhuj,BHJ
418,Poitiers,PIS
419,Fort Irwin,BYS
420,Big Mountain,7AK
421,Big Trout Lake,YTL
422,Biggin Hill,BQH
423,El Paso,BIF
424,Bilaspur,PAB
425,Bilbao,BIO
426,Billings,BIL
427,Billund,BLL
428,Biloela,ZBL
429,Bimini,NSB
430,Gunung Sitoli,GNS
431,Tianjin,TSN
432,Bintulu,BTU
433,Biratnagar,BIR
434,\N,BVI
435,Birjand,XBJ
436,Birmingham,BHM
437,Birmingham,BHX
438,Ranchi,IXR
439,Douglas,DUG
440,Bisha,BHH
441,Flint,FNT
442,Biskra,BSK
443,Bismarck,BIS
444,Bissau,BXO
445,Bitam,BMM
446,Zuni Pueblo,ZUN
447,Blackall,BKQ
448,Blackbushe,BBS
449,Blackpool,BLK
450,\N,BLT
451,Toulouse,TLS
452,Bloemfontein,BFN
453,Lexington KY,LEX
454,Bluefields,BEF
455,Blythe,BLH
456,Bo,KBS
457,Boa Vista,BVB
458,Burbank,BUR
459,Crestview,CEW
460,Bobo-dioulasso,BOY
461,Boca Raton,BCT
462,Bocas Del Toro,BOC
463,Palermo,PMO
464,Bodoe,BOO
465,Bodrum,BJV
466,Seattle,BFI
467,\N,GIC
468,Boise,BOI
469,Bojnourd,BJB
470,Bokondini-Papua Island,BUI
471,Addis Ababa,ADD
472,Bologna,BLQ
473,Perm,PEE
474,Bolzano,BZO
475,Bom Jesus Da Lapa,LAZ
476,Boma,BOA
477,Tarawa,TRW
478,Harrison,HRO
479,Boorama,BXX
480,Bora Bora,BOB
481,Bordj Badji Mokhtar,BMW
482,Alexandria,HBE
483,Borkum,BMK
484,Borlange,BLE
485,Ronne,RNN
486,Kiev,KBP
487,Bosaso,BSA
488,Ocho Rios,OCJ
489,Tiaret,TID
490,Bouake,BYK
491,\N,BQL
492,Bourges,BOU
493,\N,BRK
494,Bournemouth,BOH
495,St.-etienne,EBU
496,Hoquiam,HQM
497,Louisville,LOU
498,Brac,BWK
499,Bradford,BFD
500,Windsor Locks,BDL
501,Bradshaw Field,BSF
502,Braganca,BGC
503,Auxerre,AUF
504,Brandon,YBR
505,Bratsk,BTK
506,Braunschweig,BWE
507,Bremen,BRE
508,Bremerhaven,BRV
509,Mende,MEN
510,Orleans,ORE
511,Angouleme,ANG
512,Brisbane,BNE
513,Bristol,FZO
514,Bristol,BRS
515,Brize Norton,BZZ
516,\N,BHQ
517,Stockholm,BMA
518,Lyon,LYN
519,Bronnoysund,BNN
520,Brookings,BKX
521,Broome,BME
