,city,IATA
1144,Fallon,NFL
1145,International Falls,INL
1146,Farafangana,RVA
1147,Faranah,FAA
1148,Tulua,ULQ
1149,Farnborough,FAB
1150,Faro,ZFA
1151,Faro,FAO
1152,Nosy-be,NOS
1153,Bengkulu,BKS
1154,Faya-largeau,FYT
1155,Fayetteville,FAY
1156,Fort Eustis,FAF
1157,Spokane,SFF
1158,Fengnin,TTT
1159,Fera Island,FRE
1160,Fergana,FEG
1161,Budapest,BUD
1162,Fernando Do Noronha,FEN
1163,San Juan,SIG
1164,Fianarantsoa,WFI
1165,Kozani,KZI
1166,Firenze,FLR
1167,Rome,FCO
1168,Flagstaff,FLG
1169,Kralendijk,BON
1170,Bergen,BGO
1171,Flin Flon,YFO
1172,\N,FLS
1173,Florence,FLO
1174,Flores (flores Isl.),FLW
1175,Floro,FRO
1176,Aachen,AAH
1177,Fond-Du-Lac,ZFD
1178,Topeka,FOE
1179,Forde,FDE
1180,Forli,FRL
1181,Formosa,FMA
1182,Oslo,FBU
1183,Fort Albany,YFA
1184,Fort Chipewyan,YPY
1185,F,FNL
1186,Fort Dodge,FOD
1187,Fort Frances,YAG
1188,Fort Good Hope,YGH
1189,Fort Hope,YFH
1190,Fort Lauderdale,FXE
1191,Fort Lauderdale,FLL
1192,Fort Mcmurray,YMM
1193,Fort Mcpherson,ZFM
1194,Fort Nelson,YYE
1195,Fort Resolution,YFR
1196,Fort Severn,YER
1197,Fort Simpson,YFS
1198,Fort Smith,FSM
1199,Fort Smith,YSM
1200,Fort Saint John,YXJ
1201,Fort Stockton,FST
1202,Fort Wayne,FWA
1203,Fort Worth,FTW
1204,Fort Yukon,FYU
1205,Foula,FOA
1206,Foumban,FOM
1207,Farmington,FMN
1208,Nevers,NVS
1209,Narvik,NVK
1210,West Hampton Beach,FOK
1211,Davao,DVO
1212,Saipan,SPN
1213,Juiz De Fora,JDF
1214,Coca,OCC
1215,Francistown,FRW
1216,Holguin,HOG
1217,Miles City,MLS
1218,Hahn,HHN
1219,Frankfurt,FRA
1220,Franklin,FKL
1221,Biak,BIK
1222,Fredericton,YFC
1223,Freetown,FNA
1224,Metz,MZM
1225,Andros Town,ASD
1226,Fresno,FAT
1227,Fira,FIG
1228,Friedrichshafen,FDH
1229,Tongatapu,TBU
1230,Fuerteventura,FUE
1231,Fujeirah,FJR
1232,Fukue,FUJ
1233,Fukuoka,FUK
1234,\N,FKS
1235,Funafuti,FUN
1236,Fuerstenfeldbruck,FEL
1237,Futuna Island,FTA
1238,Gabes,GAE
1239,Gafsa,GAF
1240,Gainesville,GNV
1241,Galcaio,GLK
1242,Rio De Janeiro,GIG
1243,Bozeman,BZN
1244,Gallivare,GEV
1245,Gallup,GUP
1246,Galway,GWY
1247,Tobruk,TOB
1248,Gamba,GAX
1249,Gambella,GMB
1250,\N,GAN
1251,Gander,YQX
1252,Kangnung,KAG
1253,Ganja,KVD
1254,Ganzhou,KOW
1255,Gao,GAQ
1256,Xiamen,XMN
1257,Sirt,SRX
1258,Garden City,GCK
1259,Oslo,OSL
1260,Nimes,FNI
1261,Garoua,GOU
1262,Gasmata Island,GMI
1263,Gaspe,YGP
1264,Gassim,ELQ
1265,Gatineau,YND
1266,Gatokae,GTA
1267,London,LGW
1268,Gaua Island,ZGU
1269,Gavle,GVX
1270,Gaya,GAY
1271,Gbadolite,BDT
1272,Geilenkirchen,GKE
1273,Skien,SKE
1274,Gemena,GMA
1275,Tijuana,TIJ
1276,Puerto Cabello,PBL
1277,Boston,BOS
1278,Tartagal,TTG
1279,Morelia,MLM
1280,Tampico,TAM
1281,Vera Cruz,VER
1282,Hermosillo,HMO
1283,Barcelona,BLA
1284,Carupano,CUP
1285,Guaymas,GYM
1286,Acapulco,ACA
1287,Zacatecas,ZCL
1288,Reynosa,REX
1289,Ciudad Guayana,CGU
1290,Guayana,PZO
1291,La Paz,LAP
1292,Machala,MCH
1293,Monterrey,MTY
1294,Cuernavaca,CVJ
1295,Milwaukee,MKE
1296,Ciudad Victoria,CVM
1297,Chihuahua,CUU
1298,Mazatlan,MZT
1299,Tachina,ESM
1300,Mexicali,MXL
1301,General Santos City,GES
1302,Matamoros,MAM
1303,Salinas,SNC
1304,Parana,PRA
1305,Geneva,GVA
1306,Genoa,GOA
1307,Houston,IAH
1308,Castries,SLU
1309,George,GRJ
1310,Grand Rapids,GRR
1311,Geralds,MNI
1312,\N,GET
1313,Geraldton,YGQ
1314,Buenaventura,BUN
1315,Cayman Barac,CYB
1316,Ghadames,LTD
1317,Ghanzi,GNZ
1318,Ghat,GHT
1319,Gheshm,GSM
1320,Ghriss,MUW
1321,Gibraltar,GIB
1322,Giebelstadt,GHF
1323,Gilgit,GIL
1324,Gillam,YGX
1325,Gillette,GCC
1326,Kimhae,PUS
1327,Seoul,GMP
1328,Foggia,FOG
1329,Gerona,GRO
1330,\N,PNP
1331,Gisborne,GIS
1332,Gisenyi,GYI
1333,Gjoa Haven,YHK
1334,Kalispell,FCA
1335,\N,GLT
1336,Glasgow,GLA
1337,Glentanner,MON
1338,Golouchestershire,GLO
1339,Lome,LFW
1340,Goa,GOI
1341,Viedma,VDM
1342,Gobernador Gregores,GGS
1343,Gode,GDE
1344,Gode,GCE
1345,Fort Knox,FTK
1346,Caticlan,MPH
1347,Gods Lake Narrows,YGO
1348,Gods River,ZGI
1349,Vitoria,VIX
1350,Coolangatta,OOL
1351,Columbus Mississippi,GTR
1352,Szczechin,SZZ
1353,Golfito,GLF
1354,Golmud,GOQ
1355,La Ceiba,LCE
1356,Goma,GOM
1357,Gomel,GME
1358,Gondar,GDQ
1359,Goose Bay,YYR
1360,Gorakhpur,YOP
1361,Gore,GOR
1362,Gore Bay,YZE
1363,Gorna Orechovica,GOZ
1364,Goroka,GKA
1365,Gounda,GDA
1366,\N,GOV
1367,Porto Velho,PVH
1368,Governor's Harbor,GHB
1369,Graciosa Island,GRW
1370,Gran Canaria,LPA
1371,Freeport,FPO
1372,Grand Canyon,GCN
1373,St. Martin,SFG
1374,Johannesburg,GCJ
1375,Red River,RDR
1376,Grand Forks,GFK
1377,Grand Junction,GJT
1378,Grande Prairie,YQU
1379,Grant County Airport,MWH
1380,Silver City,SVC
1381,Bridgetown,BGI
1382,Grants,GNT
1383,Fort Lewis,GRF
1384,Graz,GRZ
1385,Great Falls,GTF
1386,Binghamton,BGM
1387,Kankakee,IKK
1388,Moncton,YQM
1389,Rochester,ROC
1390,Greenville,GSP
1391,Greenwood,GWO
1392,Greenwood,YZX
1393,Puerto Plata,POP
1394,Pine Bluff,PBF
1395,Sandusky,SKY
1396,Rome,RME
1397,\N,GFF
1398,Grise Fiord,YGZ
1399,Peru,GUS
1400,Groennedal,JGR
1401,\N,GTE
1402,Grosseto,GRS
1403,Groton CT,GON
1404,Grottaglie,TAR
1405,Grozny,GRV
1406,Grímsey,GRY
1407,Gualeguaychu,GHU
1408,Agana,GUM
1409,Guanaja,GJA
1410,Del Bajio,BJX
1411,Guanare,GUQ
1412,Guangyuan,GYS
1413,Recife,REC
1414,Sao Paulo,GRU
1415,\N,ELU
1416,Guernsey,GCI
1417,Guerrero Negro,GUB
1418,Popayan,PPN
1419,Brest,BES
1420,Guiria,GUI
1421,Gulfport,GPT
1422,Gulkana,GKN
1423,Gulu,ULU
1424,Volgograd,VOG
1425,Gunnison,GUC
1426,Guriat,URY
1427,\N,GUR
1428,Gusau,QUS
1429,Florencia,FLA
1430,Baracoa Playa,BCA
1431,San Andres Island,ADZ
1432,Gustavus,GST
1433,Guetersloh,GUT
1434,Gwadar,GWD
1435,Gwalior,GWL
1436,Kwangju,KWJ
1437,Gwert,GWE
1438,Gyumri,LWN
1439,Győr,QGY
1440,Tanjung Pandan,TJQ
1441,Ende,ENE
1442,Monastir,MIR
1443,Hachijojima,HAC
1444,\N,HFS
1445,Haifa,HFA
1446,Hail,HAS
1447,Haines,HNS
1448,Hakodate,HKD
1449,Halifax,YHZ
1450,Jakarta,HLP
1451,Hall Beach,YUX
1452,Halli,KEV
1453,Halmstad,HAD
1454,Hamburg,XFW
1455,Hamburg,HAM
1456,\N,HTI
1457,Hamilton,YHM
1458,Hamilton,HLZ
1459,Hana,HNM
1460,Hanamaki,HNA
1461,Hanau,ZNF
1462,Bar Harbor,BHB
1463,Batam,BTH
1464,Haa Dhaalu Atoll,HAQ
1465,Hannover,HAJ
1466,Hanzhong,HZG
1467,Hao Island,HOI
1468,Harare,HRE
1469,Harrisburg,MDT
1470,Clarksburg,CKB
1471,Hartford,HFD
1472,Springfield VT,VSF
1473,Atlanta,ATL
1474,Ujung Pandang,UPG
1475,El Aaiún,EUN
1476,Tilrempt,HRM
1477,Hasvik,HAA
1478,Songkhla,HDY
1479,Willemstad,CUR
1480,Hattiesburg/Laurel,PIB
1481,Havre,HVR
1482,Hawarden,CEG
1483,Hay River,YHY
1484,Hayman Island,HIS
1485,London,LHR
1486,Fargo,FAR
1487,Heho,HEH
1488,Büsum,HEI
1489,Heihe,HEK
1490,Helena,HLN
1491,Helgoland,HGL
1492,Helsinki,HEM
1493,Helsinki,HEL
1494,\N,HMV
1495,\N,HCN
1496,Bucharest,OTP
1497,St. Criox Island,STX
1498,Fort Sill,FSI
1499,Herat,HEA
1500,Florianopolis,FLN
1501,\N,HDF
1502,Las Tunas,VTU
1503,Puebla,PBC
1504,Cobija,CIJ
1505,Hervey Bay,HVB
1506,Hewandorra,UVF
1507,Baku,BAK
1508,Baku,GYD
1509,Hickory,HKY
1510,Hierro,VDE
1511,High Level,YOJ
1512,Ogden,HIF
1513,Santa Ana,INJ
1514,Hilo,ITO
1515,Hiroshima,HIJ
1516,\N,AUQ
1517,Hobart,HBR
1518,Hobart,HBA
1519,Hodeidah,HOD
1520,Hoedspruit,HDS
1521,Hof,HOQ
1522,Hokitika,HKK
1523,Alamogordo,HMN
1524,Holy Cross,HCR
1525,Homer,HOM
1526,Homestead,HST
1527,Hong Kong,HKG
1528,Shanghai,SHA
1529,Honiara,HIR
1530,Honington,BEQ
1531,Hickam Afb,HNL
1532,Fort Hood,HLR
1533,\N,HOK
1534,Hopedale,YHO
1535,\N,HID
1536,Hofn,HFN
1537,Horta,HOR
1538,Hotan,HTN
1539,Algier,ALG
1540,Hancock,CMX
1541,Houlton,HUL
1542,Colmar,CMR
1543,Orsta-Volda,HOV
1544,Howard,HOW
1545,Kirkenes,KKN
1546,Hrodna,GNA
1547,Prachuap Khiri Khan,HHQ
1548,Huahine Island,HUH
1549,Hualien,HUN
1550,Huambo,NOV
1551,Changcha,CSX
1552,Huangyan,HYN
1553,\N,HBX
1554,Hudiksvall,HUV
1555,Hudson Bay,YHB
1556,\N,HGD
1557,Hultsfred,HLF
1558,Humberside,HUY
1559,Hunter Aaf,SVN
1560,HUNTSVILLE,HSV
1561,Hurghada,HRG
1562,Mary Esther,HRT
1563,Huron,HON
1564,Husavik,HZK
1565,Bandung,BDO
1566,Hwange National Park,WKM
1567,Hyderabad,HDD
1568,Hyderabad,HYD
1569,ST MARY\\'S,ISC
1570,Iasi,IAS
1571,Ibadan,IBA
1572,Ibiza,IBZ
1573,Tanger,TNG
1574,Moroni,YVA
1575,Idaho Falls,IDA
1576,Igarka,IAA
1577,\N,QFI
1578,Igloolik,YGT
1579,Camaguey,CMW
1580,Blagoveschensk,BQS
1581,Stratford,BDR
1582,Ihu,IHU
1583,Ikaria,JIK
1584,Iki,IKI
1585,Ilebo,PFR
1586,Iles De La Madeleine,YGR
1587,Ilheus,IOS
1588,Iliamna,ILI
1589,Illizi,VVZ
1590,Iloilo,ILO
1591,Ilorin,ILR
1592,Ilulissat,JAV
1593,Tehran,IKA
1594,Imperial,IPL
1595,Imphal,IMF
1596,Zarzaitine,IAM
1597,In Salah,INZ
1598,Seoul,ICN
1599,Indian Mountains,UTO
1600,Indianapolis,IND
1601,Delhi,DEL
1602,Agadir,AGA
1603,Campeche,CPE
1604,Pachuca,PCA
1605,Inhambane,INH
1606,Innsbruck,INN
1607,Inongo,INO
1608,Inukjuak,YPH
1609,Inuvik,YEV
1610,Invercargill,IVC
1611,Inverness,INV
1612,Ioannina,IOA
1613,Kerkyra/corfu,CFU
1614,Ipota,IPA
1615,Iqaluit,YFB
1616,Iringa,IRI
1617,Irkutsk,IKT
1618,Isafjordur,IFJ
1619,Ishigaki,ISG
1620,Ishurdi,IRD
1621,Pangkalan Bun,PKN
1622,Isla Mujeres,ISJ
1623,Island Lake,YIV
1624,Islay,ILY
1625,Isle Of Man,IOM
1626,Nandayure,PBP
1627,Isparta,ISE
1628,Ithaca,ITH
1629,Ivalo,IVL
1630,\N,IFO
1631,Antananarivo,TNR
1632,Ivujivik,YIK
1633,\N,IWJ
1634,Iwojima,IWO
1635,Zihuatanejo,ZIH
1636,Izhevsk,IJK
1637,Izumo,IZO
1638,Bequia,BQU
1639,Bulawayo,BUQ
1640,Cockburn Town,GDT
1641,Jabalpur,JLR
1642,Ailinglapalap Atoll,JAT
1643,Hawthorne,HHR
1644,Jackson,JAN
1645,Jacksn Hole,JAC
1646,Jacksonville,JAX
1647,Jacksonville,NIP
1648,Jacquinot Bay,JAQ
1649,Cienfuegos,CFG
1650,Jaipur,JAI
1651,Jaisalmer,JSA
1652,Jalalabad,JAA
1653,Gorontalo,GTO
1654,Jabor Jaluit Atoll,UIT
1655,Dayton,DAY
1656,Jamestown,JMS
1657,Jammu,IXJ
1658,Jamnagar,JGA
1659,Jamshedpur,IXW
1660,Rengat,RGT
1661,Jaqué,JQE
1662,Rzeszow,RZE
1663,Sorong,SOQ
1664,Ailinglapalap Atoll,JEJ
1665,Cheju,CJU
1666,Jeremie,JEE
1667,Jerez,XRY
1668,Jersey,JER
1669,Jessore,JSR
1670,Aguascalientes,AGU
1671,Ji-Paraná,JPR
1672,\N,JMU
1673,Chongqing,CKG
1674,Jijel,GJL
1675,Jimma,JIM
1676,Jinan,TNA
1677,Jingdezhen,JDZ
1678,Jinghong,JHG
1679,Karachi,KHI
1680,Jinzhou,JNZ
1681,Jiujiang,JIU
1682,Jiuzhaigou,JZH
1683,Jiwani,JIW
1684,Jodhpur,JDH
1685,Joensuu,JOE
1686,Zandery,PBM
1687,Johannesburg,JNB
1688,New York,JFK
1689,Johnstown,JST
1690,Santa Ana,SNA
1691,Johnston Island,JON
1692,\N,JOL
1693,Nairobi,NBO
1694,Jomsom,JMO
1695,Jonesboro,JBR
1696,Joenkoeping,JKG
1697,Joplin,JLN
1698,Lima,LIM
1699,San Jose Del Guaviare,SJE
1700,Cochabamba,CBB
1701,Jorhat,JRH
1702,Bahia Solano,BSC
1703,Guayaquil,GYE
1704,Coro,CZE
1705,Rio Negro,MDE
1706,Havana,HAV
1707,Paraguana,LSP
1708,Guapi,GPI
1709,Varadero,VRA
1710,Roatan,RTB
1711,El Vigía,VIG
1712,San Jose,SJO
1713,Sucre,SRE
1714,Saba,SAB
1715,Surabaya,SUB
1716,Juanjui,JJI
1717,Juba,JUB
1718,Jujuy,JUJ
1719,\N,JCK
1720,Juliaca,JUL
1721,Jumla,JUM
1722,Juneau,JNU
1723,Taraken,TRK
1724,Jwaneng,JWA
1725,Jyvaskyla,JYV
1726,Kaadedhdhoo,KDM
1727,Kaben,KBT
1728,Kabri Dehar,ABK
1729,Kabul,KBL
1730,Chita,HTA
1731,Kadena,DNA
1732,Laamu Atoll,KDO
1733,Kaduna,KAD
1734,Kaedi,KED
1735,Kagau Island,KGE
1736,Kagoshima,KOJ
1737,\N,KCM
1738,Kahului,OGG
1739,Kaieteur,KAI
1740,Kaikoura,KBZ
1741,Kailashahar,IXH
1742,Kaimana,KNG
1743,Kaitaia,KAT
1744,Kajaani,KAJ
1745,Kalamata,KLX
1746,Kalamazoo,AZO
1747,Molokai,LUP
1748,\N,KAX
1749,Kalemie,FMI
1750,Kalgoorlie,KGI
1751,Kalibo,KLO
1752,\N,KFG
1753,Lulea,LLA
1754,Kalkmar,KLR
1755,Kalskag,KLG
1756,Kalymnos,JKL
1757,Kamembe,KME
1758,Kamina Base,KMN
1759,Kamishly,KAC
1760,Kamloops,YKA
1761,Kamusi,KUY
1762,Lilongwe,LLW
1763,Kananga,KGA
1764,Kandahar,KDH
1765,Kandla,IXY
1766,Kandrian,KDR
1767,Kaneohe Bay,NGF
1768,Kangiqsualujjuaq,XGR
1769,Kangirsuk,YKG
1770,Jaffna,JAF
1771,Kanpur,KNU
1772,Osaka,KIX
1773,Kansas City,MCI
1774,Kaohsiung,KHH
1775,Kaolack,KLC
1776,Nevsehir,NAV
1777,Lahania-kapalua,JHM
1778,Kapuskasing,YYU
1779,Karamay,KRY
1780,Kariba,KAB
1781,Karlovy Vary,KLV
1782,Karlskoga,KSK
1783,\N,KSD
1784,Haugesund,HAU
1785,Karonga,KGJ
1786,Karpathos,AOK
1787,Karratha,KTA
1788,Kars,KSY
1789,Khanabad,KSQ
1790,\N,KRB
1791,Karup,KRP
1792,Kasabonika,XKS
1793,Kasane,BBK
1794,Kashechewan,ZKE
1795,Kashi,KHG
1796,Poso,PSJ
1797,Kasos,KSJ
1798,Kassala,KSL
1799,Kassel,KSF
1800,Kastelorizo,KZS
1801,Copenhagen,CPH
1802,Eua Island,EUA
1803,Kauhava,KAU
1804,Kaukura Atoll,KKR
1805,Kaunas,KUN
1806,\N,KVG
1807,Kawthoung,KAW
1808,Kayes,KYS
1809,Kazan,KZN
1810,Kearney,EAR
1811,Kedougou,KGG
1812,Biloxi,BIX
1813,Keffallinia,EFL
1814,Keflavik,KEF
1815,Kelowna,YLW
1816,Kemorovo,KEJ
1817,Kemi,KEM
1818,Port Antonio,POT
1819,Kenai,ENA
1820,Kendall-tamiami,TMB
1821,Kenema,KEN
1822,Kengtung,KET
1823,Kentira,NNA
1824,Kenora,YQK
1825,\N,KMA
1826,Kerikeri,KKE
1827,Kerman,KER
1828,Kerry,KIR
1829,Kerteh,KTE
1830,Keshod,IXK
1831,Ketchikan,KTN
1832,Meridian MS,MEI
1833,Key West,EYW
1834,Key West,NQX
1835,Khajuraho,HJR
1836,Khamti,KHM
1837,Khanty-Mansiysk,HMA
1838,Khartoum,KRT
1839,Khasab,KHS
1840,Khatanga,HTG
1841,Yuzhno-sakhalinsk,UUS
1842,Khon Kaen,KKC
1843,\N,KHD
1844,Nakhon Ratchasima,NAK
1845,\N,HVD
1846,Kaliningrad,KGD
1847,Khudzhand,LBD
1848,Khuzdar,KDD
1849,Oxford,OXF
1850,Kiel,KEL
1851,Kiffa,KFA
1852,Kigali,KGL
1853,Kigoma,TKQ
1854,Tanjung Pinang,TNJ
1855,Kikori,KRI
1856,Lindi,LDI
1857,Kikwit,KKW
1858,Kili Island,KIO
1859,Kilimanjaro,JRO
1860,Hoskins,HKN
1861,Kimberley,KIM
1862,Kimmirut,YLC
1863,Kindersley,YKY
1864,Kindu,KND
1865,Dhahran,DHA
1866,Jeddah,JED
1867,Gizan,GIZ
1868,Dammam,DMM
1869,Mafraq,OMF
1870,\N,KNS
1871,Riyadh,RUH
1872,King Khalid Mil.city,HBT
1873,King Salmon,AKN
1874,Kingfisher Lake,KIF
1875,Kingman,IGM
1876,Kingscote,KGC
1877,Kingston,YGK
1878,Kingsville,NQI
1879,Kirksville,IRK
1880,Kirkwall,KOI
1881,Kiruna,KRN
1882,Kisangani,FKI
1883,Kish Island,KIH
1884,Kismayu,KMU
1885,Kisumu,KIS
1886,Kitadaito,KTD
1887,Kitale,KTL
1888,Kithira,KIT
1889,Kittila,KTT
1890,Kiunga,UNG
1891,Kiwayu,KWY
1892,Mosjoen,MJF
1893,Kristiansand,KRS
1894,Klamath Falls,LMT
1895,Kleinsee,KLZ
1896,Vladivostok,VVO
1897,Rockland,RKD
1898,Kobe,UKB
1899,Koblenz,ZNV
1900,Kochi,KCZ
1901,Kodiak,ADQ
1902,Kogalym,KGP
1903,\N,KCT
1904,Kokoda,KKD
1905,Kokshetau,KOV
1906,Kolhapur,KLH
1907,Cologne,CGN
1908,Sverdlovsk,SVX
1909,Kolwezi,KWZ
1910,Kanazawa,KMQ
1911,Komsomolsk-on-Amur,KXK
1912,Kona,KOA
1913,Kunduz,UND
1914,Kone,KNQ
1915,Kontum,KON
1916,Konya,KYA
1917,Kutaisi,KUT
1918,Korhogo,HGO
1919,Korla,KRL
1920,Koro Island,KXF
1921,Picton,PCN
1922,Kos,KGS
1923,Kosice,KSC
1924,Kosrae,KSA
1925,Kostanay,KSN
1926,Kustanay,KTQ
1927,Kota Kinabalu,BKI
1928,Kota,KTU
1929,Kotlas,KSZ
1930,Accra,ACC
1931,Koulamoutou,KOU
1932,Koumac,KOC
1933,\N,KWM
1934,Krabi,KBV
1935,Kramfors,KRF
1936,Pskov,PKV
1937,Kristianstad,KID
1938,Vaxjo,VXO
1939,Mpumalanga,MQP
1940,Kruunupyy,KOK
1941,Kuala Lumpur,KUL
1942,Kuantan,KUA
1943,\N,KUG
1944,Kuching,KCH
1945,Kudat,KUD
1946,Kufra,AKF
1947,Pelly Bay,YBB
1948,Coppermine,YCO
1949,Niuatoputapu,NTT
1950,Kuito,SVP
1951,Kulu,KUU
1952,Kulusuk,KUS
1953,Kumamoto,KMJ
1954,\N,KMS
1955,Kumejima,UEO
1956,Norrkoeping,NRK
1957,Kunsan,KUB
1958,Kunsan,KUV
1959,Kununurra,KNX
1960,Kuopio,KUO
1961,Kuqa,KCA
1962,Kuressaare,URE
1963,Kurgan,KRO
1964,Kursk,URS
1965,Samara,KBY
1966,\N,KUH
1967,Quujjuaq,YVP
1968,Kuujjuarapik,YGW
1969,Kuusamo,KAO
1970,Kuwait,KWI
1971,Kristiansund,KSU
1972,Kyaukpyu,KYP
1973,Kyzyl,KYZ
1974,Kzyl-Orda,KZO
1975,Al Bayda',LAQ
1976,Guatemala City,GUA
1977,Maracaibo,MAR
1978,La Coloma,LCL
1979,Grande Anse,DSD
1980,La Serena,LSC
1981,Tumaco,TCO
1982,La Fria,LFR
1983,Agen,AGF
1984,\N,GMZ
1985,La Grande Riviere,YGL
1986,New York,LGA
1987,Garzón,GLJ
1988,La Junta,LHX
1989,Quepos,XQP
1990,San Pedro Sula,SAP
1991,La Môle,LTT
1992,Manizales,MZL
1993,Santa Cruz De La Palma,SPC
1994,La Pedrera,LPD
1995,La Plata,LPG
1996,La Rioja,IRJ
1997,Brive,BVE
1998,La Ronge,YVC
1999,La Tabatière,ZLT
2000,Arcachon,XAC
2001,Noumea,NOU
2002,LaCrosse,LSE
2003,Laage,RLG
2004,\N,LBS
2005,Lambasa,LMG
2006,Labe,LEK
2007,Labuan,LBU
2008,Lac Du Bonnet,YAX
2009,San Antonio,SKF
2010,Fort Wainwright,FBK
2011,Ladysmith,LAY
2012,Lafayette,LFT
2013,Laghouat,LOO
2014,El Calafate,ING
2015,Lahad Datu,LDU
2016,Yantai,YNT
2017,Lajes (terceira Island),TER
2018,Lake Charles,LCH
2019,\N,LEL
2020,Lake Murray,LMY
2021,South Lake Tahoe,TVL
2022,Lakeba Island,LKB
2023,Lakehurst,NEL
2024,Lalibella,LLI
2025,Lamap,LPM
2026,Lamar,LAA
2027,Lambarene,LBQ
2028,St. Louis,STL
2029,Lamen Bay,LNB
2030,Lamezia,SUF
2031,Lamidanda,LDN
2032,Lampang,LPT
2033,Lampedusa,LMP
2034,Lamu,LAU
2035,Lanai,LNY
2036,Lancaster,LNS
2037,Land's End,LEQ
2038,Landskrona,JLD
2039,Gothenborg,GOT
2040,Pulau,LGK
2041,Hampton,LFI
2042,Tromso,TOS
2043,Lorient,LRT
2044,Lannion,LAI
2045,Lansdowne House,YLH
2046,Johannesburg,HLA
2047,Lanyu,KYD
2048,Lanzerote,ACE
2049,Laoag,LAO
2050,Lappeenranta,LPP
2051,\N,LRR
2052,Laramie,LAR
2053,Laredo,LRD
2054,Larissa,LRA
2055,Larnaca,LCA
2056,Santo Domingo,SDQ
2057,Corozal,CZU
2058,Las Cruces,LRU
2059,Las Heras,LHS
2060,Las Vegas,LVS
2061,Lasham,QLA
2062,Lashio,LSH
2063,Latina,QLT
2064,Del Rio,DLF
2065,Bullhead City,IFP
2066,Launceston,LST
2067,Bedford,BED
2068,Carriacou Island,CRU
2069,Joinville,JOI
2070,Passo Fundo,PFB
2071,\N,LVO
2072,Lawas,LWY
2073,Poznan,POZ
2074,Fort Benning,LSF
2075,Lawton,LAW
2076,Lazard Cardenas,LZC
2077,Paris,LBG
2078,Le Castellet,CTT
2079,Fort-de-france,FDF
2080,Hyeres,TLN
2081,Cholet,CET
2082,Pointe-a-pitre,PTP
2083,Albi,LBI
2084,Le Tourquet,LTQ
2085,Hobbs,HOB
2086,Lebanon,LEB
2087,Lecce,LCC
2088,Gdansk,GDN
2089,Leeds,LBA
2090,Leeuwarden,LWR
2091,Legazpi,LGP
2092,Leh,IXL
2093,Allentown,ABE
2094,\N,LER
2095,Leipzig,LEJ
2096,Fagernes,VDB
2097,Ribeirao Preto,RAO
2098,Leknes,LKN
2099,Lemoore,NLC
2100,\N,JAL
2101,Libreville,LBV
2102,Leon,LEN
2103,Leonora,LNO
2104,Dakar,DKR
2105,Leros,LRS
2106,Lerwick,LWK
2107,La Roche-sur-yon,EDM
2108,Grand Bourg,GBJ
2109,Lille,LIL
2110,Toronto,YYZ
2111,Lethbridge,YQL
2112,Lethem,LTM
2113,Leuchars,ADX
2114,Levaldigi,CUF
2115,Levuka,LEV
2116,Lewiston,LWS
2117,Lewistown,LWT
2118,Lhasa,LXA
2119,La Rochelle,LRH
2120,Guilin,KWL
2121,Lianyungang,LYG
2122,Liberal,LBL
2123,Toluca,TLC
2124,Mexico City,MEX
2125,Puerto Vallarta,PVR
2126,Merida,MID
2127,Uruapan,UPN
2128,Lichinga,VXC
2129,Lidkoping,LDK
2130,Liege,LGG
2131,Liepaja,LPX
2132,Lifou,LIF
2133,Lifuka,HPA
2134,\N,LHG
2135,Lihue,LIH
2136,Lijiang,LJG
2137,Likiep Island,LIK
2138,Lilabari,IXI
2139,Limbang,LMN
2140,Limnos,LXS
2141,Limon,LIO
2142,Tuli Lodge,TLD
2143,Milan,LIN
2144,Lincoln,LNK
2145,Lins,LIP
2146,Linz,LNZ
2147,Lipetsk,LPK
2148,Lisala,LIQ
2149,Lisbon,LIS
2150,Ninbo,NGB
2151,\N,LSY
2152,Lista,FAN
2153,Jacksonville,LRF
2154,Qingdao,TAO
2155,Liverpool,LPL
2156,Livingstone,LVI
2157,Ljubliana,LJU
2158,Lloydminster,YLL
2159,\N,IRG
2160,Lodja,LJA
2161,Lodwar,LOK
2162,Loei,LOE
2163,\N,RJL
2164,Loikaw,LIW
2165,Lokichoggio,LKG
2166,Guwahati,GAU
2167,Londolovit,LNV
2168,London,YXU
2169,Londonderry,LDY
2170,Londrina,LDB
2171,Conroe,CXO
2172,Long Apung-Borneo Island,LPU
2173,Long Banga,LBP
2174,Long Bawan-Borneo Island,LBW
2175,Long Beach,LGB
2176,Islip,ISP
2177,Long Datih,LGL
2178,Long Seridan,ODN
2179,Longana,LOD
2180,Guiyang,KWE
2181,\N,LRE
2182,Dijon,DIJ
2183,Svalbard,LYR
2184,Lonorore,LNE
2185,Lopez,LPS
2186,\N,LDH
2187,Loreto,LTO
2188,Los Angeles,LAX
2189,San Jose Del Cabo,SJD
2190,Monteria,MTR
2191,Lossiemouth,LMO
2192,Losuia,LSA
2193,Loubomo,DIS
2194,Le Puy,LPY
2195,New Orleans,MSY
2196,Louisville,SDF
2197,Lourdes-De-Blanc-Sablon,YBX
2198,Tarbes,LDE
2199,Chattanooga,CHA
2200,\N,KWG
2201,Luanda,LAD
2202,Luang Namtha,LXG
2203,Luang Prabang,LPQ
2204,Lubango,SDD
2205,Lubbock,LBB
2206,Luebeck,LBC
2207,Lubumashi,FBM
2208,Lucknow,LKO
2209,Luderitz,LUD
